Hour,Best_Action,Best_Bill
0,-0.4738333333333332,0.0
1,0.15360508921680172,0.03732983079909212
2,-0.4183833333333333,0.03732983079909212
3,-0.4363166666666666,0.03732983079909212
4,-0.1514441128955395,0.054449046794215375
5,-0.41200000000000003,0.054449046794215375
6,-0.5560833333333332,0.054449046794215375
7,-0.4519166666666666,0.054449046794215375
8,-0.5752166666666666,0.022054313240956705
9,-0.8201833333333332,-0.128222819121466
10,-0.40515,-0.4493220949716883
11,-0.32178398583790985,-0.8807385402902979
12,-0.420016889211785,-1.0746462213488854
13,-0.5079552967580416,-1.2809991791229505
14,-0.3984833333333333,-1.4082056964980518
15,-0.20341225436654917,-1.4417698928909266
16,0.0,-1.4890790668655578
17,0.0,-1.4960030900941843
18,0.0367994212544992,-1.2857095664885905
19,-0.03431945019177424,-1.2248339974177225
20,0.0,-1.1457625807510559
21,0.0,-0.8372411640843892
22,0.45785220402099946,-0.6516876874896909
23,-0.4343195938199495,-0.4825188777546542
24,0.26112385146284234,-0.40131932740956944
25,-0.6613778939993703,-0.39828455718619515
26,-0.1343086304813828,-0.36235636816748507
27,0.806828240368124,-0.254740532543557
28,0.2800183930166936,-0.1861740869974719
29,-0.8409666666666666,-0.1861740869974719
30,-0.27284988279218275,-0.15647016271229713
31,-0.3597503976173123,-0.13777293855742245
32,-0.77585,-0.24927131243958484
33,-0.32333144392385044,-0.46215191117766763
34,-0.6315434892461262,-0.7710398797837149
35,-0.8257549716035912,-1.184439342456833
36,-0.6761,-1.6465812962904711
37,-0.4119572086409037,-1.964307823465191
38,-1.5222767861070952,-2.172248737774172
39,-0.19353262262792856,-2.4243244703746814
40,0.0,-2.631543365532503
41,0.18930357058859798,-2.6774764330225804
42,-0.17919839205916807,-2.582256745173093
43,0.0,-2.4351498285064266
44,0.0,-2.3525586618397596
45,0.0,-2.2995338285064264
46,0.0,-2.246664995173093
47,0.0,-2.1979691618397594
48,-0.16584556425789043,-2.1555379568498556
49,-0.7340980078942665,-2.15278724402965
50,-0.6300666666666666,-2.15278724402965
51,0.06689803061881339,-2.1036852887060933
52,-0.28561058747087104,-2.0758551435583668
53,-0.6121,-2.0758551435583668
54,-0.69615,-2.0758551435583668
55,-0.6837166666666666,-2.0758551435583668
56,-0.5553652529682676,-2.181705053462994
57,-0.6041040549676938,-2.4495280185618484
58,0.4293365132027208,-2.7298695561672837
59,-0.2994468997301871,-3.143039626782841
60,-0.6813756700413033,-3.579483884677899
61,-0.4728166666666666,-4.049536492902394
62,-0.4538354089141641,-4.48399116199465
63,0.0,-4.746241404094587
64,0.0,-4.980373425080904
65,0.0,-5.084517517781002
66,0.0,-4.970718767781001
67,0.0,-4.850428684447668
68,0.0,-4.7402926844476685
69,0.0,-4.6273432677810025
70,0.0,-4.546624101114336
71,0.0,-4.497732184447669
72,0.013454364158443588,-4.44249490077737
73,-0.0019917271831192407,-4.386567279710939
74,0.4441858741579725,-4.3079810312240046
75,-0.677055834460826,-4.306056327130625
76,-0.37914166164854507,-4.283847451804447
77,-0.6585560810386857,-4.2779014304052945
78,-0.7362833333333332,-4.2779014304052945
79,-0.5954166666666666,-4.2779014304052945
80,-0.7139833333333332,-4.2779014304052945
81,-1.0876833333333331,-4.285938516436779
82,-0.5168961090214386,-4.247721149470849
83,-0.024256552520091734,-4.176834032867167
84,-0.5385,-4.203731449309385
85,-0.4687166666666666,-4.271070251551903
86,-0.4405547535521334,-4.300128273573541
87,0.0,-4.272747804242777
88,0.32801773485132824,-4.189116068991638
89,-0.2527377699445221,-4.0526594597914976
90,0.10030527039110282,-3.818855964099872
91,-0.1389470971439705,-3.6038931920808968
92,0.0,-3.390826442080897
93,0.0,-3.11191902541423
94,0.0,-2.828660942080897
95,0.0,-2.7079223587475636
