Hour,Base_Action,Base_Bill,Base_Grid,Base_Soc
0,0,3.1257698333333335,48.088766666666665,3.19936
1,0,6.132575583333334,46.25855,3.19872
2,0,9.087244833333333,45.45645,3.1980799999999996
3,0,11.958926416666667,44.179716666666664,3.1974399999999994
4,0,14.781489666666667,43.42405,3.196799999999999
5,2.0,17.718127916666667,45.179050000000004,5.096159999999999
6,1.303840000000001,20.550237933333335,43.57092333333333,6.334168000000001
7,0.06583199999999945,23.29421393,42.215015333333334,6.396068400000001
8,0.003931599999999591,26.088881234000002,42.9948816,6.399163420000001
9,0.0008365799999996426,29.039945361700003,45.400986579999994,6.399318171000001
10,0.0006818289999994676,32.024976013918334,45.923548495666665,6.399325908550001
11,0,35.15683309725167,48.18241666666667,6.398685908550001
12,0,38.651518013918334,53.76438333333333,6.398045908550001
13,0,42.41314276391834,57.87115,6.3974059085500015
14,0,46.262386430585,59.21913333333333,6.396765908550002
15,0,50.176531513918334,60.21761666666667,6.396125908550002
16,0,54.09221276391833,60.241249999999994,6.395485908550002
17,0,57.92414259725167,58.95276666666667,6.3948459085500025
18,0,61.609871180585,56.70351666666667,6.394205908550003
19,0,65.11553134725168,53.933233333333334,6.393565908550003
20,0,68.465349680585,51.535666666666664,6.392925908550003
21,0,71.85167959725167,52.09738333333333,6.3922859085500034
22,0,75.194604680585,51.42961666666667,6.391645908550004
23,0,78.60287751391833,52.43496666666667,6.391005908550004
24,0,81.93066084725166,51.19666666666667,6.390365908550004
25,0,85.232229680585,50.79336666666667,6.389725908550004
26,0,88.40715359725166,48.84498333333333,6.389085908550005
27,0,91.50195309725166,47.612300000000005,6.388445908550005
28,0,94.46758568058499,45.62511666666666,6.387805908550005
29,0.01219409144999517,97.34865179652924,44.32409409144999,6.398750295427501
30,0.0012497045724995104,100.11838736065978,42.61131637123917,6.3992975147713755
31,0.0007024852286248162,102.76400885553298,40.70186915189529,6.39932487573857
32,0.0006751242614306818,105.36002165527664,39.93865845759476,6.399326243786929
33,0.0006737562130716412,107.93091078276382,39.552140422879745,6.399326312189347
34,0.0006736878106536892,110.59819598913818,41.03515702114399,6.399326315609468
35,0,113.37298640580484,42.689083333333336,6.398686315609468
36,0,116.38154607247151,46.28553333333333,6.398046315609468
37,0,119.49253057247151,47.8613,6.3974063156094685
38,0,122.54190048913817,46.913383333333336,6.396766315609469
39,0,125.51347515580484,45.71653333333333,6.396126315609469
40,0,128.39183548913817,44.28246666666667,6.395486315609469
41,0,131.14060640580485,42.288783333333335,6.3948463156094695
42,0,133.75303982247152,40.19128333333333,6.39420631560947
43,0,136.31323490580485,39.387616666666666,6.39356631560947
44,0,138.82342548913817,38.61831666666667,6.39292631560947
45,0,141.2154493224715,36.80036666666666,6.3922863156094705
46,0,143.61183465580484,36.867466666666665,6.391646315609471
47,0,145.93714573913817,35.77401666666667,6.391006315609471
48,0,148.13351523913818,33.7903,6.390366315609471
49,0,150.30833723913818,33.458800000000004,6.3897263156094715
50,0,152.41910390580486,32.473333333333336,6.389086315609472
51,0,154.43395007247153,30.997633333333333,6.388446315609472
52,0,156.41279707247153,30.4438,6.387806315609472
53,0.012193684390528148,158.34931566195692,29.792593684390532,6.398750315780474
54,0.0012496842195259816,160.23768697476453,29.051866350886197,6.399297515789025
55,0.0007024842109757401,162.11336830290492,28.856635817544312,6.399324875789452
56,0.0006751242105487165,164.06188685264527,29.977208457543885,6.399326243789473
57,0.0006737562105270101,166.0688034801323,30.875640422877193,6.399326312189475
58,0.0006736878105257915,168.2335888531733,33.30439035447719,6.399326315609474
59,-2.0,172.2405346531733,30.355649999999997,4.293423157714737
60,0,174.7837539031733,39.12645,4.292783157714737
61,0,177.6524931531733,44.134449999999994,4.2921431577147375
62,0,180.65138731983998,46.136833333333335,4.291503157714738
63,0,183.71017356983998,47.05825,4.290863157714738
64,0,186.79055498650663,47.390483333333336,4.290223157714738
65,0,189.7691756531733,45.824933333333334,4.2895831577147385
66,0,192.55356873650663,42.83681666666667,4.288943157714739
67,0,195.2069359031733,40.82103333333333,4.288303157714739
68,0,197.78709573650664,39.694766666666666,4.287663157714739
69,0,200.31643206983998,38.91286666666667,4.2870231577147395
70,0,202.78265773650665,37.94193333333333,4.28638315771474
71,0,205.12441598650665,36.02705,4.28574315771474
72,0,207.48635456984,36.337516666666666,4.28510315771474
73,0,209.71201631984,34.24095,4.2844631577147405
74,0,211.86847798650666,33.17633333333333,4.283823157714741
75,0,213.92650040317332,31.661883333333332,4.283183157714741
76,0,215.97304815317332,31.48535,4.282543157714741
77,2.0,218.1122924031733,32.91145,6.181903157714742
78,0.2180968422852585,220.0800090312552,30.272563508951926,6.388455157885738
79,0.011544842114262543,222.04135877932598,30.174611508780934,6.3987827578942875
80,0.0012172421057128346,224.02255881672951,30.480000575439046,6.399299137894715
81,0.0007008621052850827,226.2440844560997,34.17731752877195,6.399324956894737
82,0.0006750431052635619,228.6852250005682,37.5560083764386,6.399326247844737
83,0,231.3514600005682,41.019000000000005,6.398686247844737
84,0,234.37503141723488,46.51648333333333,6.3980462478447375
85,0,237.61988991723487,49.9209,6.397406247844738
86,0,240.8003085005682,48.92951666666667,6.396766247844738
87,0,244.2010034172349,52.31838333333333,6.396126247844738
88,0,247.63780908390154,52.87393333333333,6.3954862478447385
89,0,250.95801016723487,51.080016666666666,6.394846247844739
90,0,254.05063433390154,47.578833333333336,6.394206247844739
91,0,257.0058030005682,45.46413333333333,6.393566247844739
92,0,259.79762883390157,42.951166666666666,6.3929262478447395
93,0,262.41887083390156,40.3268,6.39228624784474
