Hour,Best_Action,Best_Bill
0,4.633095,0.36364322900772095
1,2.3492002,0.5785548985004425
2,-0.64750403,0.5987642165273428
3,-0.95025,0.5987642165273428
4,-1.0337167,0.5987642165273428
5,-1.22495,0.5987642165273428
6,-1.2218666,0.5987642165273428
7,-1.2342,0.5987642165273428
8,-0.635967,0.614248120225966
9,-1.1088333,0.31369384471327066
10,-0.010501727,-0.13729167636483908
11,-1.0283333,-1.015654451213777
12,-1.2592,-1.5023864572867751
13,-1.2752833,-1.9478079741820693
14,-0.99085,-2.202221012674272
15,-0.08783714,-2.179764430038631
16,0.0,-2.1683739870786667
17,2.6254642,-1.7707560509443283
18,-1.5604666,-1.7707560509443283
19,4.8110332,-1.1739380210638046
20,-2.0803525,-1.0284075140953064
21,-2.4930248,-0.9310055524110794
22,-0.44249207,-0.8992287032306194
23,-0.13837355,-0.8477101512253284
24,2.7519014,-0.6084786541759968
25,4.1363335,-0.27946924045681953
26,-0.92503333,-0.27946924045681953
27,-1.00015,-0.27946924045681953
28,-1.01615,-0.27946924045681953
29,-1.0055166,-0.27946924045681953
30,-1.0464014,-0.2680499143898487
31,-0.53799796,-0.21656978130340576
32,2.6609743,0.22284799814224243
33,3.5063782,0.39316773414611816
34,-2.40545,-0.34454280138015747
35,-1.03505,-1.2108306884765625
36,-0.94638336,-2.13511461019516
37,-0.9307333,-3.061082899570465
38,-0.9285667,-3.959066092967987
39,-4.186267,-4.705160975456238
40,4.3265643,-4.339305758476257
41,-4.8551197,-4.489596530795097
42,0.617162,-4.2657205909490585
43,-1.6038308,-4.25557176489383
44,-0.23376003,-4.1649483339861035
45,1.8817255,-3.9702055947855115
46,-1.0709167,-3.9702055947855115
47,-0.65907854,-3.943557453341782
48,-1.0635166,-3.943557453341782
49,0.58467275,-3.8358217226341367
50,-1.0475334,-3.8358217226341367
51,4.0838842,-3.500102107413113
52,-1.0225834,-3.500102107413113
53,-1.0021833,-3.500102107413113
54,-1.1345167,-3.500102107413113
55,2.2453954,-3.236874078400433
56,1.6389,-2.934006636030972
57,-0.9629833,-3.4805017756298184
58,-0.9369,-4.2300254153087735
59,-1.0406667,-5.110536222346127
60,0.624138,-5.686385397799313
61,-1.2125,-6.626490657217801
62,-1.3189833,-7.521252875216305
63,-1.2698333,-8.304670040495694
64,-1.2956,-8.90882081259042
65,-1.2122667,-9.243882332928479
66,-0.17234054,-9.181632299907506
67,0.0,-9.111398716457188
68,0.14278522,-9.020874184556305
69,-0.13500595,-8.95004949439317
70,0.0,-8.886591081507504
71,0.0,-8.829838500358164
72,-0.96545,-8.829838500358164
73,1.2468013,-8.689920515753329
74,-0.89,-8.689920515753329
75,3.9995632,-8.372199655510485
76,2.526197,-8.148291111923754
77,0.59252745,-8.047904417850077
78,0.7601099,-7.923126534558833
79,0.038645744,-7.373063282109797
80,0.0025720596,-6.719794527627528
81,0.0007686615,-6.385262832976878
82,-1.2941834,-6.415021835826337
83,-0.6503988,-6.377489889971912
84,-1.0268,-6.431284728460014
85,-0.72705,-6.565962347202003
86,0.26760775,-6.510190683417022
87,-0.86251616,-6.40365746896714
88,-2.8687167,-6.4169945092871785
89,-4.4815993,-6.393229999579489
90,-1.2102574,-6.200550579465926
91,0.0,-6.128814415074885
92,0.0,-6.057884247042239
93,0.0,-5.9268713453784585
94,0.32295677,-5.606220529414713
95,-0.3061689,-5.339320943690836
96,0.4083286,-5.151106179691851
97,-0.8994,-5.151106179691851
98,-0.89865,-5.151106179691851
99,3.3680272,-4.874893427826464
100,2.4582753,-4.657656372524798
101,1.3669752,-4.49503989610821
102,-1.1802167,-4.49503989610821
103,-2.7791502,-4.412036136724055
104,-3.61335,-4.420164064504206
105,-3.34755,-4.567268521524966
106,-0.5774242,-4.2952601024881005
107,0.0,-4.471119553782046
108,3.6672199,-4.17363575194031
109,-0.9572833,-4.508023859001696
