Hour,Best_Action,Best_Bill
0,-0.36415,0.0
1,1.9158913,0.14482267200946808
2,0.3447663,0.188991229981184
3,-0.38038334,0.188991229981184
4,-0.3362,0.188991229981184
5,0.72352296,0.2587106414139271
6,-0.48598334,0.2587106414139271
7,-0.41885,0.2587106414139271
8,-0.43175,0.24575274717062712
9,-0.28418332,0.1856418950483203
10,-0.13502252,0.06744661461561918
11,-0.55025,-0.1082259314134717
12,1.0534549,-0.14823147002607584
13,-0.31401667,-0.2373157674446702
14,-0.29128334,-0.28819837141782045
15,-0.30065,-0.31235555838793516
16,-0.36005,-0.3445918960496783
17,-0.39425,-0.3660195032134652
18,-0.33503333,-0.3660195032134652
19,0.3552838,-0.3089061425998807
20,0.8743753,-0.21885025221854448
21,-0.5093333,-0.21885025221854448
22,-0.43331668,-0.21885025221854448
23,-0.040972497,-0.20102221425622702
24,-0.356,-0.20102221425622702
25,-0.3631,-0.20102221425622702
26,0.36787054,-0.1488572983071208
27,1.8394899,-0.005444127134978771
28,-0.34555,-0.005444127134978771
29,-0.35611665,-0.005444127134978771
30,0.56290084,0.053291008807718754
31,0.36090174,0.11272062081843615
32,-0.3574,0.06812127027660608
33,1.3046732,0.027847220189869404
34,-0.31123546,-0.11623964738100767
35,-0.4109,-0.28949722182005644
36,-0.39526665,-0.47435399424284697
37,0.94120926,-0.6005312753841281
38,-0.32325,-0.780127908103168
39,-0.36165,-0.9293468995019794
40,-0.45716667,-1.0511957881972194
41,1.0098732,-1.059312897734344
42,-0.56188333,-1.059312897734344
43,-0.48891667,-1.059312897734344
44,-0.7403,-1.059312897734344
45,-0.66426665,-1.059312897734344
46,-0.47736666,-1.059312897734344
47,-0.39701667,-1.059312897734344
48,1.228966,-0.953874277882278
49,1.872666,-0.8057902483269572
50,-0.39611667,-0.8057902483269572
51,-0.39855,-0.8057902483269572
52,-0.42818335,-0.8057902483269572
53,-0.50838333,-0.8057902483269572
54,0.66207755,-0.734336125664413
55,-0.55135,-0.734336125664413
56,0.13825923,-0.7561991130933166
57,-0.06001494,-0.844878732226789
