Hour,Best_Action,Best_Bill
0,0.0,0.08538183333333348
1,0.0,0.14492183333333347
2,1.371789473684205,0.29377006578947346
3,0.0,0.35295148245614044
4,2.0,0.5426539824561405
5,0.0,0.6186038179664781
6,0.0,0.7148962132167883
7,0.0,0.8407934272907083
8,-1.3121666666666667,0.5523029241612112
9,-1.2440166666666668,-0.030769527804301977
10,-0.8940166666666665,-0.6779361505585227
11,-0.8738999999999999,-1.1568988258913124
12,-1.4029333333333331,-1.5791821423983523
13,2.0,-1.4181314456255376
14,-0.975452666666668,-1.6124139330442873
15,-1.1776499999999999,-1.8664302014004315
16,2.0,-1.6508144315337034
17,-0.91465,-1.6612581813627196
18,-0.8885260000000001,-1.635592255352915
19,0.0,-1.5740834607919543
20,0.0026947368421052637,-1.503150433692651
21,0.0,-1.4407785735730891
22,0.0,-1.3380733736793837
23,0.0,-1.2738507547177085
24,0.7408842105263168,-1.1219608643668313
25,2.0,-0.9289888643668313
26,0.0,-0.8651902810334979
27,2.0,-0.6693539477001647
28,0.0,-0.6055553643668313
29,2.0,-0.38835569770016465
30,0.0,-0.3067793933736214
31,0.0,-0.29156175615875657
32,0.0,-0.588316685338246
33,-1.367183333333334,-1.2321085357582358
34,0.0,-1.618680479289857
35,-1.465666666666667,-2.4114759103285826
36,-1.2791833333333331,-3.2425098912076638
37,-0.15196066666666708,-3.674849365706705
38,-1.811749999999999,-4.2219870074574475
39,1.4187250230840256,-4.154071636967565
40,-1.2791833333333331,-4.458177669801634
41,1.3094810710987996,-4.3315185878510265
42,-1.1787666666666667,-4.36002988318542
43,0.0,-4.278529102673581
44,0.0,-4.198657740290288
45,0.0,-4.120614773606451
46,0.0013473684210526318,-4.054299134704946
47,0.0,-3.9532219162017737
48,0.0,-3.890870210061423
49,2.0000000000000004,-3.697105210061423
50,0.7395368421052637,-3.5880707319912477
51,2.0000000000000004,-3.397601231991248
52,2.0000000000000004,-3.2033216486579144
53,0.0,-3.1295851925175633
54,0.0,-3.0351508657392468
55,0.0,-3.0377863631757336
56,-0.2963779999999978,-3.2920896118609675
57,-1.1557833333333334,-3.9812806270937022
58,-1.155783333333333,-4.794181338769254
59,0.0,-5.430374564343127
60,0.0,-5.904777345695062
61,-1.8117500000000002,-6.756420325205054
62,-1.6548333333333334,-7.521933424059244
63,0.0,-7.835739235389008
64,2.0,-7.678261619150949
