Hour,Best_Action,Best_Bill
0,0.0,0.01612975
1,0.0,0.03163225
2,1.3717894736842058,0.13744723245614004
3,0.0,0.1551098991228067
4,2.0,0.3007218157894734
5,0.0,0.33551135526315756
6,0.0,0.35940142245091494
7,-0.44525,0.326975956684406
8,-0.21816666666666645,0.21235797138403276
9,0.0,0.044156210350151576
10,0.0,-0.17486082038343922
11,0.0,-0.3306653936426158
12,0.0,-0.4528910622189032
13,0.0,-0.5345331497515228
14,-0.4286236610473228,-0.6202617416499473
15,-2.0,-0.7056704321716302
16,-0.7175166666666666,-0.7645578544484695
17,-1.4339092370068898,-0.7645578544484695
18,-0.8292377686124555,-0.7645578544484695
19,0.003368421052631579,-0.7319613536413196
20,0.0,-0.6925432659499493
21,0.0,-0.6558237263535431
22,0.0,-0.6358776701090062
23,0.0,-0.6206016120196606
24,1.9999999999999998,-0.4751836120196606
25,0.0,-0.46104226728916986
26,2.0,-0.3205351088178805
27,0.7402105263157902,-0.2601546279424038
28,2.0,-0.11719775791746342
29,0.0,-0.07682892534895927
30,0.0013473684210521092,-0.06253789099492568
31,-0.3986333333333335,-0.14077772991308057
32,-0.29428333333333323,-0.3162311433091719
33,-0.3610666666666664,-0.5849192116770328
34,-0.3363666666666667,-0.8681810237585358
35,-0.5042166666666668,-1.1890346808753796
36,0.0,-1.5066290301223193
37,-0.43681666666666663,-1.8479150959919426
38,-0.43681666666666663,-2.0711464524039163
39,-1.3615533333333325,-2.232802265787946
40,-1.9441666666666668,-2.327434740040488
41,0.0,-2.2562050043071915
42,0.004042105263157895,-2.130756895707594
43,0.0,-2.039382252909341
44,0.0,-1.928585498371573
45,0.0,-1.8818548916779183
46,0.0,-1.8635347064409593
47,0.0,-1.8475720435925165
48,1.9999999999999998,-1.6992517935925164
49,2.0,-1.5513453769258498
50,2.0,-1.4040759413846307
51,0.0,-1.3906101756913172
52,0.0,-1.3764329036176493
53,0.0,-1.362163548210648
54,0.1827087719298232,-1.312674591221021
55,-0.8099499999999997,-1.3949207525073697
56,-0.3245999999999998,-1.584170234331156
57,-0.2752,-1.8911601498052333
58,-0.3610666666666664,-2.2378681416364667
59,-0.3363666666666667,-2.5928404979759287
60,-0.88055,-2.954784547227366
61,-1.5175500000000002,-3.296445304705502
62,-0.7593000000000001,-3.6025331587372076
63,-0.3055833333333333,-3.7963383250639753
64,0.005389473684210527,-3.6682435645251603
65,0.0,-3.6207058727913672
66,0.0,-3.607843883788013
67,0.0,-3.57883031128866
68,0.0,-3.532158745048006
69,0.0,-3.512430121396543
70,0.0,-3.4943295285882368
71,0.0,-3.4801335947261927
72,1.9999999999999998,-3.3320213447261926
73,0.0,-3.304570228966205
74,0.0,-3.288739738326241
75,2.0,-3.1289255810196104
76,0.0,-3.11105981178545
77,0.7415578947368426,-3.024530598433397
78,2.0,-2.480048983820787
79,-0.5976166666666666,-2.4966455869398256
80,-0.3246,-2.584906399454566
81,-0.5706666666666669,-2.7950250552930704
82,0.0,-3.0535242956661066
83,-0.5226500000000001,-3.3372783305201192
84,0.0,-3.6182006465454535
85,0.0,-3.8778781718168913
86,0.0,-4.080482314689864
87,-1.8302140000000016,-4.1589344560608765
88,-1.1185,-4.235044282779893
89,-0.5747,-4.256759848698107
90,-0.5307166666666666,-4.264849754030037
91,0.0,-4.2431991981617765
92,0.0,-4.221485160498447
93,0.0,-4.208543476829649
94,0.0,-4.196735377099633
95,0.0,-4.183133561743327
96,0.0,-4.164536605602977
97,0.7402105263157905,-4.10083592139245
98,2.0,-3.954276088059117
99,1.9999999999999987,-3.808689088059117
100,0.0,-3.792811213059117
101,2.0,-3.62061104639245
102,0.0,-3.5722250349783966
103,-2.0,-3.1727206068391975
104,-2.0,-2.1287637810031104
105,-0.21836688204013266,-2.2416479523655175
106,0.0,-2.480428604786108
107,0.0,-2.679909962230136
108,0.0,-2.886263243445534
109,0.0,-3.072099614232975
110,0.0,-3.2091044454498334
111,0.0,-3.301226317162745
112,-1.2794551725315573,-3.301226317162745
113,-0.34114523594791235,-3.301226317162745
114,-0.23373670948039926,-3.301226317162745
115,0.0,-3.281176671666217
116,0.0,-3.2621167735884318
117,0.0020210526315789477,-3.2422337429877253
118,0.0,-3.2315510366887015
119,0.0,-3.2173550900230974
120,0.7408842105263166,-3.152619366338887
121,2.0,-3.00691969967222
122,0.0,-2.9907942830055534
123,0.0,-2.975094616338887
124,2.0,-2.8301976996722202
125,2.0,-2.6607773663388867
126,0.0,-2.6273446969356895
127,0.0,-2.6538711873956204
128,-0.37910792905476676,-2.793324035686599
129,-0.6176666666666659,-3.0007942744430323
130,-0.3124,-3.1898869310587394
131,-0.5547666666666666,-3.444238149471031
132,-0.3416,-3.6591268616387564
133,-0.34681666666666655,-3.844104199327853
134,-0.43835,-3.982194373971436
135,-0.28236666666666665,-4.114103706702229
136,-0.4787333333333332,-4.178319687930111
137,-1.4256873197192255,-4.178319687930111
138,-0.8952087512260097,-4.178319687930111
139,0.0,-4.126974702191221
140,0.0026947368421052632,-4.099970843045101
141,0.0,-4.079964977267878
142,0.0,-4.0621777737720794
143,0.0,-4.044616984139722
144,0.7408842105263166,-3.9786722604555114
145,2.0,-3.8298775104555114
146,0.0,-3.812105427122178
147,0.0,-3.7894247604555114
148,2.0,-3.6419587187888447
149,2.0,-3.473226302122178
150,0.0,-3.439239124657743
151,-0.2537666666666666,-3.4615054567116004
152,-0.30269705001169267,-3.5524471606084917
153,-2.0,-3.518549850840848
154,0.0,-3.75118549157023
155,0.0,-3.9460247267570527
156,-0.49996666666666684,-4.14016512661192
157,-0.4999666666666666,-4.305287145849753
158,-0.35375,-4.488455420864607
159,-0.30155898823173527,-4.5828113654574745
160,-0.7786666666666666,-4.695928021383665
161,-0.4545333333333333,-4.71162305084437
162,-0.6277979617565721,-4.71162305084437
163,0.0,-4.6844569991226
164,0.0026947368421052637,-4.644863742296142
165,0.0,-4.608144222007785
166,0.0,-4.5937792810572695
167,0.0,-4.578283324786664
168,1.9999999999999998,-4.429971741453331
169,0.0,-4.411744658119997
170,0.0,-4.392692074786664
171,1.1642570637119103,-4.2987032406453904
172,0.0,-4.279650657312057
173,2.0,-4.108655157312057
174,0.0,-4.084530349702565
175,-0.25725,-4.161384215436572
176,-0.34043333333333337,-4.383595414415206
177,-0.2752,-4.687179660337625
178,-0.30971666666666664,-5.00470438219332
179,-0.3480666666666665,-5.294265195144393
180,-0.31706666666666683,-5.607678476391335
181,-0.3170666666666664,-5.902681198090005
182,-0.45413333333333306,-6.130924993769679
183,-0.39316666666666644,-6.2718785310717236
184,-1.0846833333333332,-6.34577299791613
185,-0.2395833333333333,-6.367438222903172
186,-0.3097833333333333,-6.3674383716413905
187,0.0,-6.34300600372334
188,0.0,-6.307921221279449
189,0.0,-6.271263862746544
190,0.0,-6.248934220906301
191,0.0,-6.235519697658586
192,1.9999999999999996,-6.0903736143252525
193,0.32909547553093066,-6.054982491749075
194,0.0,-6.039771408415742
195,2.0,-5.894840908415742
196,0.0,-5.880218075082409
197,0.0,-5.854297158415743
198,0.0,-5.781534112430303
199,0.0,-5.762159853215736
200,-0.3754166666666665,-5.858873309682172
201,-0.24801666666666655,-6.099766644622629
202,-0.24800000000000003,-6.363147958887019
