Step,Action,Best_Bill,reward
0,-0.20640000000000006,0.013415999999999997,0.013415999999999997
1,-0.3493666666666666,0.03612483333333333,0.02270883333333333
2,0.0,0.08338308333333333,0.04725825
3,-0.03607416666666383,0.1409422625000002,0.05755917916666685
4,-0.6379,0.18240576250000018,0.0414635
5,-0.6228583333333334,0.22289155416666684,0.04048579166666667
6,-0.7483583333333333,0.27153484583333354,0.04864329166666667
7,5.0,1.2638844458333334,0.9923495999999999
8,4.742969999999996,2.1343746375430315,0.8704901917096981
9,-1.8868166666666664,2.1850686228246334,0.05069398528160199
10,-1.87645,2.0783052021444557,-0.10676342068017786
11,-0.7714166666666666,1.7886734314232675,-0.2896317707211882
12,-0.6275,1.6441806377133403,-0.1444927937099272
13,-0.6381583333333334,1.5170646952347315,-0.1271159424786087
14,-0.7915833333333334,1.4786261480013172,-0.038438547233414354
15,-0.6894583333333341,1.4866658386358038,0.00803969063448665
16,-1.283216666666667,1.5315328150996506,0.04486697646384665
17,-1.066175,1.6015568044378636,0.0700239893382131
18,-1.4689758333333305,1.9314939944378642,0.32993719000000044
19,-1.571863254385963,2.051771299569443,0.12027730513157907
20,0.002842105263157895,2.1315658697448816,0.07979457017543862
21,0.0,2.3498033697448815,0.2182375
22,0.0014210526315789475,2.415454738165934,0.06565136842105264
23,0.0014210526315789475,2.449493356586987,0.03403861842105264
24,4.217631578947369,2.779263159218566,0.329769802631579
25,5.0,3.170815575885233,0.3915524166666667
26,0.0,3.234047575885233,0.063232
27,0.0,3.3020018258852333,0.06795425000000001
28,4.7429700000000015,3.6867641258852335,0.3847623000000001
29,0.0,3.7807942092185667,0.09403008333333335
30,0.0,3.919590875885233,0.13879666666666665
31,0.0,4.088616875885233,0.169026
32,-0.97805,4.077662176779503,-0.010954699105729927
33,-1.6508833333333337,3.994804213302945,-0.08285796347655822
34,-2.6772249999999995,3.913897984224464,-0.08090622907848094
35,-1.3684166666666666,3.6768561451475903,-0.23704183907687376
36,-0.98165,3.3856745820806795,-0.29118156306691056
37,-0.6105166666666667,3.0641286036988427,-0.3215459783818369
38,-0.7485166666666667,2.7648166818068924,-0.2993119218919504
