Step,Action,Best_Bill,reward
0,-0.20640000000000006,0.013415999999999997,0.013415999999999997
1,-0.3493666666666666,0.03612483333333333,0.02270883333333333
2,3.5616454293628834,0.31489003624192075,0.2787652029085874
3,0.0,0.37479403624192076,0.059904
4,0.0,0.45772103624192073,0.082927
5,0.0,0.538692619575254,0.08097158333333335
6,-0.7483583333333333,0.5873359112419207,0.04864329166666667
7,4.743680000000001,1.5458512712419208,0.9585153600000001
8,-1.0878,1.6466798229516193,0.1008285517096986
9,-1.8868166666666664,1.6973738082332213,0.05069398528160199
10,-1.87645,1.4304652565327767,-0.26690855170044464
11,-0.7714166666666666,0.7063858297298062,-0.7240794268029704
12,-0.6275,0.34515384545498823,-0.361231984274818
13,-0.6381583333333334,0.027363989258466448,-0.3177898561965218
14,-0.7915833333333334,-0.06873237882506944,-0.09609636808353589
15,-0.6894583333333334,-0.06069268819058271,0.008039690634486733
16,-1.283216666666667,-0.01582571172673606,0.04486697646384665
17,-1.066175,0.054198277611477046,0.0700239893382131
18,-0.3773283333333313,0.5282329376114773,0.4740346600000003
19,-1.5752377543859648,0.6482909002430562,0.12005796263157895
20,0.0,0.7279007335763896,0.07960983333333334
21,0.0,0.9461382335763896,0.2182375
22,0.002842105263157895,1.011881970418495,0.06574373684210527
23,0.0,1.045828220418495,0.03394625
24,4.216210526315789,1.3755056546290214,0.32967743421052637
25,5.0,1.767058071295688,0.3915524166666667
26,0.0,1.830290071295688,0.063232
27,0.0,1.898244321295688,0.06795425000000001
28,4.745740000000001,2.283186671295688,0.3849423500000001
29,0.0,2.3772167546290213,0.09403008333333335
30,0.0,2.5160134212956877,0.13879666666666665
31,0.0,2.685039421295688,0.169026
32,-0.97805,2.657652673531363,-0.027386747764324815
33,-1.6508833333333337,2.4505077648399674,-0.20714490869139557
34,-2.6772249999999995,2.248242192143765,-0.20226557269620235
35,-1.3684166666666666,1.6556375944515809,-0.5926045976921844
36,-0.98165,0.9276836867843045,-0.7279539076672764
37,-0.6105166666666664,0.12381874082971212,-0.8038649459545923
38,-0.7485166666666666,-0.6244610639001639,-0.748279804729876
39,-0.9842750000000002,-1.1737010045755962,-0.5492399406754325
