Hour,Best_Action,Best_Bill
0,-0.25095,0.0
1,-0.26993334,0.0
2,-0.25423333,0.0
3,1.8131481,0.13359545171260834
4,-0.08643839,0.14422912150621414
5,-0.04094688,0.15889332443475723
6,2.5375783,0.3403058275580406
7,-0.50013334,0.3403058275580406
8,-0.5237833,0.3273479351773858
9,-0.73258334,0.267237083055079
10,-1.0348,0.13879737351089716
11,-0.7467276,-0.02694494929164648
12,-1.33225,-0.12429135199636221
13,-1.47225,-0.21337564941495657
14,-0.31315,-0.2642582533881068
15,-2.561182,-0.26738139358349144
16,1.3060664,-0.12072340515442193
17,1.0642856,-0.017447219463065267
18,-0.2561,-0.017447219463065267
19,-0.27546668,-0.017447219463065267
20,-0.62333333,-0.017447219463065267
21,-0.6864833,-0.017447219463065267
22,-0.31965,-0.017447219463065267
23,-0.19357562,-0.01175813446752727
24,-0.04217122,0.003524152794852853
25,-0.2688,0.003524152794852853
26,-0.27108333,0.003524152794852853
27,-0.28128332,0.003524152794852853
28,-0.28001666,0.003524152794852853
29,-0.27745,0.003524152794852853
30,-0.26683334,0.003524152794852853
31,-0.25406668,0.003524152794852853
32,-0.25245,-0.04107519774697721
33,0.68190366,-0.10652269958518445
34,-0.46736667,-0.25406480371020734
35,1.5046613,-0.3324725979473442
36,2.2667723,-0.3825638161506504
37,-2.4553833,-0.5677574591245502
38,-2.0238166,-0.7473540918435901
39,-3.4545228,-0.8315119983162731
40,0.0,-0.8543475472833961
41,0.04250424,-0.8375090805348009
42,-0.039739028,-0.7812812027987093
43,3.3505785,-0.5093258616980165
44,-3.1824098,-0.44535998976789415
45,0.0,-0.3546741602476686
46,0.0,-0.2995888290461153
47,0.0,-0.24595949775539339
48,-0.68128335,-0.24595949775539339
49,-0.26053333,-0.24595949775539339
50,-0.2718,-0.24595949775539339
51,-0.27113333,-0.24595949775539339
52,-0.29498333,-0.24595949775539339
53,3.0011783,-0.03131032711826265
54,2.2012172,0.1363940315786749
55,1.6096319,0.2613001021090895
56,-0.36195,0.21532941632904112
57,-0.67233336,0.10603038989938796
