Hour,Best_Action,total_reward,Best_Bill,FG,TG
1,-0.20640000000000003,0,0.0,0.0,0.0
2,-0.3493666666666666,0,0.0,0.0,0.0
3,3.561645429362884,0,0.05495238601108037,3.925170429362884,0.0
4,0.0,0,0.006912,0.4608,0.0
5,0.0,0,0.0095685,0.6379,0.0
6,0.0,0,0.009342875,0.6228583333333334,0.0
7,-0.7483583333333333,0,0.0,0.0,0.0
8,5.0,0,0.031294499999999996,6.2589,0.0
9,-1.0878,0,-0.06478946710651733,-0.0,0.32394733553258664
10,-1.8868166666666664,0,-0.30055426472484537,-0.0,1.5027713236242268
11,-1.87645,0,-0.6421985517004446,-0.0,3.210992758502223
12,-0.7714166666666666,0,-0.8783627601363038,-0.0,4.391813800681518
13,-0.6275,0,-0.486731984274818,-0.0,2.43365992137409
14,-0.6381583333333334,0,-0.4454215228631885,-0.0,2.2271076143159423
15,-0.7915833333333334,0,-0.2544130347502026,-0.0,1.272065173751013
16,-0.6894583333333334,0,-0.12078594191243962,-0.0,0.603929709562198
17,-1.2832166666666667,0,-0.16118168128259572,-0.0,0.8059084064129786
18,-1.066175,0,-0.10713804645725289,-0.0,0.5356902322862644
19,-0.37732833333333127,0,0.04017304166666672,1.6069216666666688,0.0
20,-1.7111416666666666,0,0.0,0.0,0.0
21,0.0,0,0.013472433333333336,0.6123833333333334,0.0
22,0.0,0,0.03861125,1.67875,0.0
23,0.002842105263157895,0,0.010649984210526315,0.5071421052631578,0.0
24,0.0,0,0.004961375,0.261125,0.0
25,4.21621052631579,-3.241638909987001,-3.153401284987001,4.6440855263157905,0.0
26,5.0,-3.241638909987001,-3.1479359016536677,5.511941666666667,0.0
27,0.0,-3.241638909987001,-3.2323973099870007,0.4864,0.0
28,0.0,-3.241638909987001,-3.231707134987001,0.522725,0.0
29,5.0,-3.241638909987001,-3.141050859987001,5.5882249999999996,0.0
30,0.0,-3.241638909987001,-3.225002818320334,0.7233083333333334,0.0
31,0.0,-3.241638909987001,-3.218150243320334,1.0676666666666665,0.0
32,0.0,-3.241638909987001,-3.211734309987001,1.3002,0.0
33,-0.97805,-3.241638909987001,-3.4646356577513258,0.0,1.1149837388216242
34,-1.6508833333333337,-3.241638909987001,-3.778960485345063,0.0,2.6866078767903105
35,-2.6772249999999995,-3.241638909987001,-3.979349482683203,0.0,3.6885528634810116
36,-1.3684166666666666,-3.241638909987001,-4.107926909987001,0.0,4.331440000000001
37,-0.9816500000000001,-3.241638909987001,-4.165922909987001,0.0,4.6214200000000005
38,-0.6105166666666664,-3.241638909987001,-4.167607189274927,0.0,4.6298413964396286
39,-0.7485166666666666,-3.241638909987001,-4.13962204805021,0.0,4.489915690316047
40,-0.9842750000000002,-3.241638909987001,-3.9877338506624334,0.0,3.730474703377162
41,-1.1781,-3.241638909987001,-3.8508833669693114,0.0,3.0462222849115537
42,-1.5817166666666667,-3.241638909987001,-3.5797424257515416,0.0,1.6905175788227031
43,0.0,-3.241638909987001,-3.2118408266536678,1.354458333333333,0.0
44,-0.043847499999994335,-3.241638909987001,-3.2221764441536673,0.8461941666666722,0.0
45,0.0,-3.241638909987001,-3.2173974766536677,1.1018833333333333,0.0
46,0.0,-3.241638909987001,-3.2169747099870007,1.1211,0.0
47,0.00284210526315914,-3.241638909987001,-3.2110567345484045,1.5291087719298257,0.0
48,0.0,-3.241638909987001,-3.2055632433203343,1.8037833333333333,0.0
49,0.0,-9.511078695307077,-9.474999120307077,1.718075,0.0
50,4.2147894736842115,-9.511078695307077,-9.408302399254445,6.045664473684211,0.0
51,5.0,-9.511078695307077,-9.40005622864041,6.530733333333334,0.0
52,5.0,-9.511078695307077,-9.39285247864041,6.954483333333333,0.0
53,0.0014210526315793753,-9.511078695307077,-9.48112886635971,1.6638793859649128,0.0
54,0.0014210526315793753,-9.511078695307077,-9.475773116359708,1.9614210526315794,0.0
55,0.0014210526315793753,-9.511078695307077,-9.477596495307077,1.7622210526315794,0.0
56,0.0014210526315793753,-9.511078695307077,-9.458995103201813,2.480171052631579,0.0
57,-2.1011416666666665,-9.511078695307077,-9.740932131189345,-0.0,1.1492671794113385
58,-2.9228,-9.511078695307077,-10.057573814511247,0.0,2.73247559602085
59,4.999998110745388,-9.511078695307077,-9.433307838129586,4.860696274123714,1.4160424367618285e-06
60,-2.0496416666666666,-9.511078695307077,-10.391589456592154,0.0,4.402553806425389
61,-1.4977333333333336,-9.511078695307077,-10.447075410422265,0.0,4.679983575575943
62,-1.2165999999999997,-9.511078695307077,-10.451183911756068,-0.0,4.700526082244952
63,-1.5699166666666668,-9.511078695307077,-10.405840951708758,0.0,4.473811282008401
64,-1.3192583333333334,-9.511078695307077,-10.294495846173616,0.0,3.917085754332695
65,-1.0408666666666666,-9.511078695307077,-10.115229403946376,0.0,3.020753543196497
66,-1.910425,-9.511078695307077,-9.846140214040606,-0.0,1.6753075936676474
67,0.0,-9.511078695307077,-9.468813695307077,1.6906,0.0
68,-0.7776660982073352,-9.511078695307077,-9.510943679958675,0.005000568459331389,0.0
69,-0.914775,-9.511078695307077,-9.511078695307077,0.0,0.0
70,0.0014210526315789475,-9.511078695307077,-9.487302832149183,1.080721052631579,0.0
71,0.002842105263157895,-9.511078695307077,-9.48609483741234,1.387992105263158,0.0
72,0.0,-9.511078695307077,-9.487016145307077,1.3368083333333334,0.0
73,0.0014210526315789475,-14.949512679919328,-14.919332505357925,1.7753043859649125,0.0
74,0.0,-14.949512679919328,-14.92533102991933,1.42245,0.0
75,4.214789473684212,-14.949512679919328,-14.851563781673715,6.121806140350879,0.0
76,5.0,-14.949512679919328,-14.85339130491933,6.4080916666666665,0.0
77,5.0,-14.949512679919328,-14.855894446585994,6.687016666666667,0.0
78,0.0014210526315793753,-14.949512679919328,-14.91761795097196,1.7719293859649128,0.0
79,0.0,-14.949512679919328,-14.910125163252662,1.7903416666666665,0.0
80,0.0028421052631587506,-14.949512679919328,-14.900742886936872,2.2168087719298253,0.0
81,0.0014210526315793753,-14.949512679919328,-14.89713448737547,2.2773127192982456,0.0
82,-3.2724999999999995,-14.949512679919328,-14.965586851982296,-0.0,0.08037086031484222
83,3.6288808864265927,-14.949512679919328,-14.788716264847421,6.18447750276568,0.0
84,-1.68885,-14.949512679919328,-15.007461050400384,-0.0,0.28974185240527506
85,-1.6118333333333332,-14.949512679919328,-15.003307512803763,-0.0,0.2689741644221765
86,-1.384275,-14.949512679919328,-15.084190284404364,-0.0,0.6733880224251773
87,-1.0245583333333335,-14.949512679919328,-15.029304439918844,-0.0,0.3989587999975816
88,-0.8810166666666666,-14.949512679919328,-15.029813028860966,-0.0,0.4015017447081838
89,-1.1613666666666653,-14.949512679919328,-14.962849697986462,-0.0,0.06668509033566784
90,-1.0488,-14.949512679919328,-14.950052687748393,-0.0,0.0027000391453239013
91,-0.8809333333333333,-14.949512679919328,-14.949512679919328,0.0,0.0
92,-0.651425,-14.949512679919328,-14.949512679919328,0.0,0.0
93,-1.0889416666666667,-14.949512679919328,-14.949512679919328,0.0,0.0
94,-0.9997083333333334,-14.949512679919328,-14.949512679919328,0.0,0.0
95,-0.38790166666666565,-14.949512679919328,-14.922075666585995,0.8574066666666678,0.0
96,0.0014210526315789475,-14.949512679919328,-14.913312982550908,1.392296052631579,0.0
97,1.7533222530009234,-14.64706310661581,-14.617602006338803,3.273455586334257,0.0
98,-1.5798083333333335,-14.64706310661581,-14.64706310661581,0.0,0.0
99,4.214789473684212,-14.64706310661581,-14.757384348282477,5.806381140350879,0.0
100,5.0,-14.64706310661581,-14.84474910661581,6.589533333333334,0.0
101,5.0,-14.64706310661581,-14.80183470661581,6.448816666666667,0.0
102,0.0014210526315793753,-14.64706310661581,-14.639648722405283,1.8535960526315793,0.0
103,-1.493825,-14.64706310661581,-14.64706310661581,0.0,0.0
104,-1.6845416666666666,-14.64706310661581,-14.64706310661581,0.0,0.0
105,2.8030563250230855,-14.64706310661581,-14.522141989479351,4.804658351402298,0.0
106,-3.317825,-14.64706310661581,-14.794167549933588,-0.0,0.7355222165888863
107,-3.279108333333334,-14.64706310661581,-14.837420956052956,-0.0,0.9517892471857226
108,-1.620575,-14.64706310661581,-15.0932225419728,-0.0,2.2307971767849475
109,-0.847425,-14.64706310661581,-14.951986167429585,-0.0,1.5246153040688717
110,-0.88255,-14.64706310661581,-14.981451218163942,-0.0,1.6719405577406563
111,-1.6052166666666665,-14.64706310661581,-15.364000238998539,-0.0,3.584685661913643
112,-0.6108666666666664,-14.64706310661581,-15.213093433985698,-0.0,2.830151636849436
113,4.9999999999999964,-14.64706310661581,-14.498649729836588,5.9365350711689056,3.395663397027561e-16
114,-1.498975,-14.64706310661581,-14.843211607483896,-0.0,0.9807425043404259
115,-0.8786583333333334,-14.64706310661581,-14.64706310661581,0.0,0.0
116,0.0,-14.64706310661581,-14.61176308161581,1.3074083333333335,0.0
117,-0.8209733333333274,-14.64706310661581,-14.627153193282478,0.7110683333333391,0.0
118,-0.8529583333333334,-14.64706310661581,-14.64706310661581,0.0,0.0
119,0.0,-14.64706310661581,-14.636756706615811,0.3964,0.0
120,-0.450675,-14.64706310661581,-14.64706310661581,0.0,0.0
121,-0.450675,-17.636164492640443,-17.63373044264044,0.13522499999999998,0.0
122,4.216210526315791,-17.636164492640443,-17.575742866324653,5.035135526315791,0.0
123,5.0,-17.636164492640443,-17.642065350973777,5.900858333333334,0.0
124,0.0,-17.636164492640443,-17.62327000930711,0.9918833333333335,0.0
125,5.0,-17.636164492640443,-17.600491492640444,5.9455,0.0
126,0.0014210526315793753,-17.636164492640443,-17.617125775973776,1.0020377192982461,0.0
127,-1.0981916666666667,-17.636164492640443,-17.636164492640443,0.0,0.0
128,0.551679593721147,-17.636164492640443,-17.567045975235086,2.229629593721147,0.0
129,-1.5186916666666666,-17.636164492640443,-17.764435203763046,-0.0,0.6413535556130202
130,-2.10835,-17.636164492640443,-18.144813160286233,-0.0,2.5432433382289434
131,-2.364625,-17.636164492640443,-17.738778213701263,-0.0,0.5130686053040965
132,-2.0347666666666666,-17.636164492640443,-17.722992639014176,-0.0,0.4341407318686587
133,-1.145475,-17.636164492640443,-17.741762660142783,-0.0,0.5279908375116963
134,-0.71385,-17.636164492640443,-17.93469986102044,-0.0,1.4926768418999816
135,-0.922175,-17.636164492640443,-17.752492821853465,-0.0,0.5816416460651046
136,-0.687758333333334,-17.636164492640443,-17.674070568534788,0.0,0.18953037947173
137,-0.7149,-17.636164492640443,-17.752665447665965,-0.0,0.5825047751276157
138,0.0014210526315780643,-17.636164492640443,-17.615669457882483,0.6831678252653868,0.0
139,0.0014210526315790125,-17.636164492640443,-17.594852936500093,1.4754127192982456,0.0
140,0.0014210526315789475,-17.636164492640443,-17.61977694921939,0.606946052631579,0.0
141,0.0014210526315789475,-17.636164492640443,-17.61921962421939,0.6275877192982456,0.0
142,0.0014210526315789475,-17.636164492640443,-17.621186645272022,0.576071052631579,0.0
143,0.0014210526315789475,-17.636164492640443,-17.623201466324655,0.518521052631579,0.0
144,0.0014210526315789475,-17.636164492640443,-17.630980787377286,0.2159877192982456,0.0
145,4.2204736842105275,-18.815451517783014,-18.70992836339705,4.796507017543861,0.0
146,0.0,-18.815451517783014,-18.79737998444968,0.8214333333333333,0.0
147,5.0,-18.815451517783014,-18.753536367783013,5.62865,0.0
148,0.0,-18.815451517783014,-18.798524667783013,0.73595,0.0
149,0.0,-18.815451517783014,-18.797181617783014,0.83045,0.0
150,0.0,-18.815451517783014,-18.796369951116347,0.8296333333333334,0.0
151,5.0,-18.815451517783014,-18.698061351116348,5.869508333333333,0.0
152,-0.8331558333333317,-18.815451517783014,-18.810013847783015,0.19420250000000172,0.0
153,-1.2506166666666667,-18.815451517783014,-18.825606194030797,-0.0,0.050773381238908614
154,-1.894758333333333,-18.815451517783014,-18.892368951770745,-0.0,0.38458716993866
155,-2.2484166666666665,-18.815451517783014,-19.05310386034244,-0.0,1.1882617127971262
156,-0.7285416666666666,-18.815451517783014,-19.01255899270948,-0.0,0.9855373746323334
157,-0.5304416666666665,-18.815451517783014,-19.153138632825527,-0.0,1.6884355752125701
158,-0.5059083333333332,-18.815451517783014,-19.04148849399334,-0.0,1.1301848810516335
159,-0.77335,-18.815451517783014,-19.047620447918803,-0.0,1.1608446506789496
160,-1.0835833333333333,-18.815451517783014,-19.15071884897457,-0.0,1.676336655957772
