Hour,Best_Action,Best_Bill
0,1.64625,0.12331799417734146
1,-0.26993334,0.12331799417734146
2,0.70515406,0.1856781728565693
3,1.1621233,0.2769570164382458
4,0.1839633,0.3051667958498001
5,-0.26655,0.3051667958498001
6,-0.15673365,0.3114490257576108
7,-0.50013334,0.3114490257576108
8,-0.16190909,0.31645537819713354
9,-0.5037784,0.21453805919736624
10,-1.0348,-0.04234135989099741
11,-0.5890624,-0.3612127685919404
12,-0.19689003,-0.46507677529007196
13,-1.2059995,-0.6219453224912286
14,-0.31315,-0.7237105304375291
15,-0.44598073,-0.5322209978476167
16,0.2610976,-0.4837900782003999
17,0.8881041,-0.40376985911279917
18,-0.07877686,-0.3803632063791156
19,0.75901884,-0.31312164943665266
20,-0.62333333,-0.31312164943665266
21,-0.42754057,-0.2962903706356883
22,-0.31965,-0.2962903706356883
23,1.1595523,-0.20264797192066908
24,-0.11983556,-0.19241386651992798
25,-0.10661535,-0.18187186494469643
26,0.2958198,-0.145023163408041
27,-0.28128332,-0.145023163408041
28,2.4322393,0.03127347305417061
29,0.7470363,0.09786507859826088
30,-0.26683334,0.09786507859826088
31,-0.25406668,0.09786507859826088
32,-0.25245,0.008666377514600754
33,-0.36851665,-0.2062622494995594
34,-0.46736667,-0.5013464577496052
35,-0.26905155,-0.8000590689480305
36,-0.71261376,-1.1385923810303211
37,-2.4553833,-1.5089796669781208
38,-0.21010655,-1.7230761088430882
39,0.12304318,-1.6272909082472324
40,-1.5544413,-1.7973173148930073
41,1.0629814,-1.7141478322446346
42,-0.9047833,-1.7141478322446346
43,-0.3657271,-1.6837523449212313
44,-1.3979958,-1.5037995893508196
45,-0.30358732,-1.432846935465932
46,1.5115905,-1.2795082200318575
47,0.42971596,-1.197947347536683
48,-0.68128335,-1.197947347536683
49,-0.04876445,-1.1841823710128665
50,-0.2515535,-1.1828663481865078
51,0.5463645,-1.1297289899084717
52,-0.29498333,-1.1297289899084717
53,-0.30111668,-1.1297289899084717
54,1.7515877,-0.9912505319807678
55,-0.312,-0.9912505319807678
56,-0.36195,-1.0831919035408646
57,-0.10613212,-1.2564938238356262
58,-0.89918333,-1.5563033095095307
59,-0.81176174,-1.8842618933413178
60,-0.29154366,-2.186034726211801
61,-0.154408,-2.4424067905638367
62,-0.22055729,-2.6308189204428345
63,0.02498304,-2.6684391407761723
64,-1.1427805,-2.8559978811535984
65,-0.6923881,-2.9105282148811966
66,0.8460679,-2.6754848978016526
67,-0.51272655,-2.602778712520376
68,-0.6385634,-2.3568455821368843
69,-0.42749923,-2.284658709773794
70,-0.08672532,-2.2357922738883644
71,0.2919015,-2.1651588475797325
72,-0.71811664,-2.1651588475797325
73,-0.28343335,-2.1651588475797325
74,-0.25186667,-2.1651588475797325
75,0.5043871,-2.1145680195186287
76,2.522236,-1.9292344248387963
77,1.1962382,-1.8314936181996018
78,0.44579473,-1.757872792193666
79,0.14534545,-1.695505595067516
80,-0.24733333,-1.695505595067516
81,0.9205747,-1.5476760922465473
82,-0.27941668,-1.559579697670415
83,-0.08939051,-1.5687609540764242
84,-0.29721665,-1.590278888354078
85,-0.27483332,-1.644149927655235
