Hour,Best_Action,Best_Bill
0,-0.19754166666666664,0.0
1,-0.22981666666666664,0.0
2,-0.18709166666666666,0.0
3,-0.38969166666666655,0.0
4,-0.21139166666666664,0.0
5,-0.322075,0.0
6,-0.3270916666666666,0.0
7,0.9473093259464549,0.006126754963065607
8,-0.24561666666666657,-0.026267978590193055
9,-0.23431666666666673,-0.17654511095261577
10,-0.24424166666666647,-0.49764438680283807
11,-0.29330000000000034,-0.93682576687099
12,-0.25464166666666666,-1.18019176687099
13,-0.2103666666666668,-1.4029025283025842
14,-0.2331333333333332,-1.5301090456776856
15,-0.273725,-1.5905020456776855
16,-0.2512916666666666,-1.6710928863189833
17,-0.2429666666666666,-1.72466190954761
18,-0.9897166666666664,-1.72466190954761
19,-0.3747083333333333,-1.72466190954761
20,-0.5422916666666666,-1.72466190954761
21,-0.3514916666666666,-1.72466190954761
22,-0.36818333333333325,-1.72466190954761
23,-0.261975,-1.72466190954761
24,0.0014210526315782393,-1.7203328345476099
25,5.0,-1.6315647845476098
26,0.0,-1.6276186428809432
27,0.0,-1.6244777845476097
28,2.116313019390583,-1.5829923501985792
29,-0.21963333333333326,-1.5829923501985792
30,-0.230975,-1.5829923501985792
31,-0.2436416666666666,-1.5829923501985792
32,-0.31897499999999995,-1.6944907240807416
33,-0.32934166666666664,-1.9631515117597726
34,-0.3476416666666666,-2.332006798107874
35,-0.38834166666666636,-2.765150798107874
36,-0.3825583333333329,-3.227292798107874
37,-0.2712916666666665,-3.690276937751837
38,-0.22206666666666663,-4.139268506783441
39,-0.34269166666666706,-4.512315977121157
40,-0.31970833333333326,-4.8169382056123125
41,-0.5672666666666666,-4.985989963494583
42,-0.336975,-4.985989963494583
43,-0.3477583333333333,-4.985989963494583
44,-0.300825,-4.985989963494583
45,-0.5906166666666666,-4.985989963494583
46,-0.3234333333333333,-4.985989963494583
47,-0.3092333333333333,-4.985989963494583
48,0.0014210526315786834,-4.978962221389319
49,2.9483167128347185,-4.924446195604463
50,5.0,-4.832674953937796
51,0.0,-4.829654903937796
52,0.0,-4.825602203937796
53,0.0,-4.818253703937796
54,-0.17450000000000002,-4.818253703937796
55,-0.297675,-4.818253703937796
56,-0.49229166666666646,-4.93318042187893
57,-0.32203333333333317,-5.206427981481015
58,-0.383283333333333,-5.581189837073389
59,-0.27333333333333343,-6.021445217715927
60,-0.24509999999999987,-6.489443575273521
61,-0.29708333333333314,-6.9594961834980165
62,-0.5921916666666664,-7.406877311698857
63,-0.37576666666666636,-7.798585887132126
64,-0.3020999999999998,-8.100661241451776
65,-1.0677083333333335,-8.26819200081854
66,-0.8858333333333334,-8.26819200081854
67,-0.4999916666666666,-8.26819200081854
68,-0.40641666666666654,-8.26819200081854
69,-0.5285500000000001,-8.26819200081854
70,0.0,-8.25469065081854
71,0.0,-8.24823660081854
72,0.002842105263157895,-8.244759101695733
73,0.0,-8.238586401695732
74,0.0014210526315789475,-8.234928331520294
75,1.7277368421052615,-8.205130278888715
76,5.0,-8.128307145555382
77,-0.36868333333333325,-8.128307145555382
78,-0.32170000000000004,-8.128307145555382
79,-0.35405000000000003,-8.128307145555382
80,-0.41751666666666654,-8.128307145555382
81,-0.20815,-8.136344231586866
82,-0.24175,-8.151223736619624
83,-0.21914166666666665,-8.18019792186015
84,-0.21046666666666666,-8.207095338302368
85,-0.242325,-8.274434140544885
86,-0.21905,-8.314330020544643
87,-0.18608333333333324,-8.354480195015462
88,-0.1920416666666666,-8.361148704049029
89,-0.20990833333333328,-8.361418707963562
90,-0.3890083333333333,-8.361418707963562
91,-0.7571416666666666,-8.361418707963562
92,-0.3558833333333333,-8.361418707963562
93,-0.38526666666666654,-8.361418707963562
94,-0.43670000000000003,-8.361418707963562
95,-0.3299833333333333,-8.361418707963562
96,0.19801292705447826,-8.357256016620072
97,-0.17614166666666664,-8.357256016620072
98,4.214789473684212,-8.445470916620073
99,5.0,-8.602029166620072
100,5.0,-8.733878766620073
101,-0.20170833333333324,-8.733878766620073
102,-0.218125,-8.733878766620073
103,-0.4998166666666666,-8.733878766620073
104,-0.329225,-8.737942730648818
105,-0.1962583333333333,-8.811494952307706
106,-0.2720916666666666,-8.906673877026279
107,-0.25663333333333327,-9.129753594704773
108,-0.22600833333333337,-9.28221512511166
109,-0.23597500000000005,-9.449409180885727
110,-0.26196666666666646,-9.807877747077091
111,-0.2480500000000001,-10.090892910762035
112,-0.1668,-10.132704403645144
113,-0.158775,-10.230778654079186
114,-0.21593333333333328,-10.230778654079186
115,-0.34205,-10.230778654079186
116,-0.4836666666666666,-10.230778654079186
117,-0.5273666666666667,-10.230778654079186
118,-0.3757083333333333,-10.230778654079186
119,-0.29105000000000003,-10.230778654079186
120,-0.22582000000000002,-10.230778654079186
121,-0.22290000000000001,-10.230778654079186
122,5.0,-10.235993845745853
123,-0.24774000000000002,-10.235993845745853
124,-0.44204166666666656,-10.235993845745853
125,-0.22260000000000005,-10.235993845745853
126,-0.31747000000000003,-10.235993845745853
127,-0.39497963393747526,-10.235993845745853
128,-0.4808591226559336,-10.300129201307154
129,-0.19580833333333317,-10.55445353513005
130,-0.2579599182319125,-10.60576039566046
131,-0.26050833333333334,-10.649174468847326
132,-0.2641083333333333,-10.701973552598496
133,-0.36779942900257084,-10.851241236788495
134,-0.3952,-10.909405401395006
135,-0.3286588692404219,-10.928358439342178
136,-0.30565942389825207,-10.986608916854939
137,-0.3568494448696529,-10.989910916854939
138,-0.34955,-10.989910916854939
139,-0.45925000000000005,-10.989910916854939
140,-0.31497,-10.989910916854939
141,-0.30578000000000005,-10.989910916854939
142,-0.28095000000000003,-10.989910916854939
143,-0.22114964702859205,-10.989910916854939
144,-0.19524166666666665,-10.989910916854939
145,-0.165475,-10.989910916854939
146,1.0428652478402805,-10.974448140795362
147,-0.22300000000000003,-10.974448140795362
